283,11,0
122,5,1
41,23,0
741,10,0
296,3,0
199,3,0
777,2,0
26,31,1
1026,51,0
245,1,0
199,5,0
397,32,0
988,2,0
24,8,0
425,3,0
1040,40,0
5,12,0
1025,13,0
1012,2,0
753,17,0
1026,12,0
269,5,0
612,17,0
1026,37,0
789,8,0
385,10,0
534,25,0
871,5,0
745,23,0
318,7,0
789,16,0
925,18,0
784,10,0
991,18,0
596,4,0
6,2,1
283,15,0
236,3,0
338,16,0
987,14,0
248,9,0
775,15,0
943,12,0
522,8,0
991,21,0
316,1,0
250,8,1
398,3,0
68,19,0
824,3,1
222,8,0
103,20,1
302,21,0
374,10,0
735,14,0
448,13,0
991,16,0
117,12,0
124,3,0
119,11,0
689,5,0
772,16,0
298,18,1
378,9,1
289,23,0
452,5,0
469,24,0
707,8,0
119,10,0
1000,2,0
1015,7,0
372,6,0
594,3,0
935,16,0
526,8,0
593,3,0
