1106,4,0
353,56,0
385,34,0
1433,7,0
141,4,0
600,51,1
586,16,0
906,43,1
142,7,0
932,24,0
1511,24,1
1748,123,0
669,6,0
822,10,0
1748,130,0
812,44,1
560,18,1
119,4,0
1188,23,1
1005,5,0
419,12,0
1668,16,0
468,6,0
575,11,0
690,24,0
1922,56,0
1095,19,0
1095,29,0
615,27,0
1753,97,0
586,4,0
367,5,0
1565,85,1
1865,74,1
1668,24,0
1758,75,0
570,82,0
1925,67,0
1565,71,1
1922,61,1
702,16,0
544,33,0
743,28,0
1809,34,0
703,5,0
1433,16,0
1792,129,1
1661,46,0
1748,135,0
602,6,0
812,43,1
591,34,1
1319,28,0
1550,85,1
455,11,0
398,5,0
1098,26,1
1143,7,0
1664,19,0
1039,9,0
1513,24,0
1381,14,1
1747,50,0
1550,71,1
114,30,0
1753,196,1
1111,12,1
874,2,0
1687,34,0
1200,26,0
1748,60,0
1790,48,1
581,7,0
876,11,0
803,29,1
1728,80,0
546,58,1
597,51,1
400,18,0
1570,33,1
1667,24,0
561,3,1
369,22,0
863,7,0
561,18,0
672,35,1
1667,19,0
1907,25,1
607,8,1
230,9,0
1317,10,0
1729,46,1
1555,33,1
1128,11,0
1654,5,0
1815,25,1
400,22,0
1433,17,0
1689,15,0
1111,11,0
529,3,0
1523,14,0
718,18,1
1722,44,0
1183,23,1
1099,11,1
855,3,1
1126,12,0
1523,15,0
1659,48,0
1667,36,0
419,23,0
1668,19,0
1513,13,0
